City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ust-nera,64.5667,143.2,-30.17,100,57,1.46,RU,1710430775
83,san matias,-16.3667,-58.4,39.28,32,52,3.07,BO,1710430775
84,aripuana,-9.1667,-60.6333,35.57,45,18,1.34,BR,1710430775
85,tupiza,-21.45,-65.7167,22.74,35,62,1.67,BO,1710430776
86,enewetak,11.3474,162.3373,26.28,78,100,8.83,MH,1710430776
87,simoca,-27.2627,-65.3565,36.69,46,0,0.46,AR,1710430776
88,cabo san lucas,22.8909,-109.9124,22.51,49,75,5.14,MX,1710430776
89,urengoy,65.9667,78.3667,-21.84,99,78,3.25,RU,1710430563
90,remire-montjoly,4.9167,-52.2667,31.02,70,100,6.69,GF,1710430777
91,nabire,-3.3667,135.4833,24.73,92,100,0.63,ID,1710430777
92,hamilton,39.1834,-84.5333,21.25,67,100,5.66,US,1710430687
93,labytnangi,66.6572,66.4183,-23.51,95,17,2.39,RU,1710430778
94,chernyshevskiy,63.0128,112.4714,-30.27,100,75,1.33,RU,1710430778
95,lebu,-37.6167,-73.65,16.09,59,2,6.49,CL,1710430778
96,ushuaia,-54.8,-68.3,7.79,70,20,1.54,AR,1710430701
97,ouistreham,49.2833,-0.25,18.55,59,0,7.72,FR,1710430520
98,pisco,-13.7,-76.2167,24.03,78,0,3.09,PE,1710430779
99,tokar,18.4254,37.729,30.23,63,1,5.13,SD,1710430779
100,benque viejo el carmen,17.075,-89.1392,26.01,83,0,2.06,BZ,1710430780
101,fort bragg,35.139,-79.006,24.9,36,0,0.89,US,1710430780
102,margaret river,-33.95,115.0667,18.52,82,1,3.85,AU,1710430780
103,monteagudo,-19.8167,-63.9833,34.3,39,4,2.39,BO,1710430780
104,kiunga,-6.1219,141.2906,23.53,100,100,0.52,PG,1710430781
105,bel ombre,-4.6167,55.4167,28.91,79,40,1.54,SC,1710430781
106,papatowai,-46.5619,169.4708,8.14,87,100,4.84,NZ,1710430781
107,san luis jilotepeque,14.65,-89.7333,24.98,50,100,1.58,GT,1710430781
108,ponta delgada,37.7333,-25.6667,18.44,88,20,6.69,PT,1710430782
109,shasta lake,40.6804,-122.3708,11.4,35,0,3.08,US,1710430782
110,nuuk,64.1835,-51.7216,-4.66,80,40,3.6,GL,1710430782
111,saynshand,44.8824,110.1163,-3.82,81,7,5.41,MN,1710430782
112,arraial do cabo,-22.9661,-42.0278,28.98,65,20,7.2,BR,1710430783
113,talnakh,69.4865,88.3972,-17.11,95,98,3.87,RU,1710430783
114,takoradi,4.8845,-1.7554,30.59,70,89,7.29,GH,1710430783
115,otoka,44.96,16.1792,14.94,56,36,0.81,BA,1710430783
116,holualoa,19.6228,-155.9522,20.91,85,0,1.54,US,1710430784
117,komatipoort,-25.4332,31.9548,24.47,89,100,4.51,ZA,1710430784
118,san felipe,10.3399,-68.7425,35.22,37,72,1.77,VE,1710430784
119,avarua,-21.2078,-159.775,26.03,94,40,3.09,CK,1710430785
120,anapa,44.8908,37.3239,10.2,87,75,5.0,RU,1710430529
121,krasnyy chikoy,50.3643,108.7512,-10.6,94,100,0.7,RU,1710430785
122,bilibino,68.0546,166.4372,-19.63,96,100,1.51,RU,1710430785
123,ridder,50.355,83.5133,-11.45,98,100,0.94,KZ,1710430579
124,lerwick,60.1545,-1.1494,8.0,67,88,4.64,GB,1710430774
125,sinop,41.7711,34.8709,6.49,91,85,0.99,TR,1710430786
126,dudinka,69.4058,86.1778,-16.88,96,99,6.09,RU,1710430786
127,porbandar,21.6422,69.6093,23.99,69,0,4.12,IN,1710430787
128,marovoay,-16.1,46.6333,27.9,68,7,0.66,MG,1710430787
129,novo aripuana,-5.1206,-60.3797,24.99,96,100,0.65,BR,1710430787
130,nar'yan-mar,67.6713,53.087,-14.38,96,68,3.13,RU,1710430787
131,carrizo springs,28.5219,-99.8606,24.34,94,100,2.57,US,1710430788
132,cabedelo,-6.9811,-34.8339,29.37,70,90,5.49,BR,1710430788
133,atafu village,-8.5421,-172.5159,29.07,75,8,5.15,TK,1710430788
134,sinan,34.8262,126.1086,3.06,76,0,0.84,KR,1710430788
135,ulsteinvik,62.3432,5.8487,8.2,84,73,10.73,NO,1710430789
136,moron,-34.6534,-58.6198,25.56,90,99,1.09,AR,1710430789
137,dubbo,-32.25,148.6167,22.07,53,68,3.09,AU,1710430789
138,puerto ayora,-0.7393,-90.3518,28.98,90,52,4.02,EC,1710430790
139,belen,36.4891,36.2233,8.93,86,2,2.62,TR,1710430790
140,chon buri,13.3,101.3,30.19,76,2,4.44,TH,1710430790
141,shingu,33.7333,135.9833,6.38,79,3,2.76,JP,1710430790
142,morondava,-20.2833,44.2833,29.27,78,0,4.03,MG,1710430791
143,anadyr,64.75,177.4833,-15.72,85,100,5.0,RU,1710430791
144,bonthe,7.5264,-12.505,30.68,63,54,6.53,SL,1710430791
145,carnarvon,-24.8667,113.6333,28.03,67,2,7.19,AU,1710430792
146,suva,-18.1416,178.4415,25.71,94,75,0.0,FJ,1710430792
